lead_name,business_type,address,phone,website,email,coordinates_lon,coordinates_lat,osm_type,osm_id,source
Mais Depil,Beleza,"835, Avenida dos Mananciais, Rio de Janeiro, 22720-400",+55 21 3456-3988; +55 21 99845-2600,http://www.maisdepil.com.br/,,-43.3860366,-22.9172431,beauty,node/2968360619,openstreetmap
Espaço Ellas,Beleza,"1665, Estrada do Rio Grande, Rio de Janeiro, 22720-010",+55 21 2475-4525; +55 21 2456-1858,http://espacoellas.wix.com/espacoellas,,-43.3867927,-22.9194491,beauty,node/2971562628,openstreetmap
Espaço Pérola's,Beleza,"329, Estrada do Pau-Ferro, Pechincha, Rio de Janeiro, 22743050",+5521974662093,https://espacoperolasrj.negocio.site/,,-43.346778,-22.9261814,beauty,node/8657441612,openstreetmap
Espaço Musa,Beleza,"160, Estrada do Pau-Ferro, Pechincha, Rio de Janeiro, 22743051",21978878286,https://espacomusarj.negocio.site/?m=true,,-43.3504519,-22.9276852,beauty,node/9586642851,openstreetmap
Drogaria Padrão,Farmácia,"Próximo a -22.9532, -43.3716",+55 21 2436-5000,http://www.maxcenter.com.br,,-43.3780412,-22.9158711,pharmacy,node/2954320343,openstreetmap
Farmácia Popular,Farmácia,"2733, Estrada do Tindiba, Rio de Janeiro, 22730-261",0800 888 9697,https://www.saude.rj.gov.br/farmacia-popular.html,,-43.3760443,-22.91889,pharmacy,node/2970318085,openstreetmap
SOI Dentistas,Dentista,"1770, Estrada do Rio Grande, Rio de Janeiro, 22720-011",+55 21 2440-6664,http://leonardosoi.wix.com/1,soidentistas@gmail.com,-43.3873666,-22.9192309,dentist,node/2971562950,openstreetmap
Beauty Center by Marize,Salão de beleza,"950, Avenida dos Mananciais, Rio de Janeiro, 22720-410",+55 21 2440-4349; +55 21 3594-1638,,,-43.387263,-22.9170332,hairdresser,node/2955387253,openstreetmap
Espaço Contemporâneo,Salão de beleza,"Próximo a -22.9532, -43.3716",+55 21 3311-5438,,,-43.3595037,-22.9890777,hairdresser,node/3447126899,openstreetmap
Studio Beauty Karine Lima,Beleza,"3, Rua Nova, Rio das Pedras, Rio de Janeiro, 22753-211",(21) 97881-0968,,,-43.3335775,-22.9715734,beauty,node/4100929109,openstreetmap
Lavanderia Primus,Lavanderia,"89, Estrada da Soca, Rio de Janeiro, 22723-424",+55 21 3432-1161,,,-43.3855602,-22.9175524,laundry,node/2970318092,openstreetmap
Clínica da Família Padre Jose de Azevedo Tiuba,Clínica,"495, Camposema, Gardênia Azul, Rio de Janeiro",+55 21 24262061,,,-43.3527746,-22.9607496,clinic,node/2242613189,openstreetmap
Coordenacao de Emergencia Regional Cer Barra,Clínica,Barra da Tijuca,+55 35507060,,,-43.3653969,-22.9949653,clinic,node/2263526480,openstreetmap
Ennes Farma,Farmácia,"1621, Estrada do Rio Grande, Rio de Janeiro, 22720-010",+55 21 2440-4050,,,-43.3864253,-22.9193632,pharmacy,node/2971562627,openstreetmap
Clean Bucal,Dentista,"64, Rua Salinópolis, Rio de Janeiro, 22720-000",+55 21 2440-0380,,,-43.3862514,-22.9184728,dentist,node/2979176051,openstreetmap
Barbearia do Kadim,Salão de beleza,"121, Rua Jericó",,,,-43.3680836,-22.9487295,hairdresser,node/496464068,openstreetmap
Barbearia K & MK,Salão de beleza,"192, Rua Jericó",,,,-43.3671738,-22.9497412,hairdresser,node/496491925,openstreetmap
Espaço Cor da Pele,Salão de beleza,Rua Noé,,,,-43.3648563,-22.9498123,hairdresser,node/496500048,openstreetmap
Salão de Beleza Unissex (Studio 88),Salão de beleza,"Próximo a -22.9532, -43.3716",,,,-43.3790599,-22.9304479,hairdresser,node/1551633186,openstreetmap
Salão de Beleza Emerson e Grazi Coiffeur,Salão de beleza,"187, Rua Relvado, Rio de Janeiro, 22720-380",,,,-43.3874489,-22.918643,hairdresser,node/2955387136,openstreetmap
Espaço Pé & Mão,Beleza,"Próximo a -22.9532, -43.3716",,,,-43.3594996,-22.9889196,beauty,node/3447126895,openstreetmap
Espaço Eliete e Anderson,Salão de beleza,"Próximo a -22.9532, -43.3716",,,,-43.4132817,-22.9693883,hairdresser,node/4741914640,openstreetmap
Stilos Salon,Salão de beleza,"Próximo a -22.9532, -43.3716",,,,-43.4133816,-22.9702731,hairdresser,node/4741914663,openstreetmap
Salão Beleza.com,Beleza,"Próximo a -22.9532, -43.3716",,,,-43.413334,-22.9701632,beauty,node/4741914665,openstreetmap
Esmalte Chic,Beleza,"Próximo a -22.9532, -43.3716",,,,-43.4132965,-22.9699434,beauty,node/4741914669,openstreetmap
Senhor Pello,Beleza,"Próximo a -22.9532, -43.3716",,,,-43.4133018,-22.9696816,beauty,node/4741914674,openstreetmap
Beleza Real Studio,Beleza,"Próximo a -22.9532, -43.3716",,,,-43.4133971,-22.969668,beauty,node/4741914675,openstreetmap
Vaidosa Make e Esmalteria,Beleza,"Próximo a -22.9532, -43.3716",,,,-43.413393,-22.9696199,beauty,node/4741914676,openstreetmap
Barbearia & etc,Salão de beleza,"Próximo a -22.9532, -43.3716",,,,-43.4132924,-22.9702632,hairdresser,node/4741914687,openstreetmap
Sobrancelhas,Beleza,"Próximo a -22.9532, -43.3716",,,,-43.4135931,-22.9742911,beauty,node/5695527836,openstreetmap
