lead_name,business_type,address,phone,website,email,coordinates_lon,coordinates_lat,osm_type,osm_id,source
Pousada Manacá,Hotel,"Próximo a -16.4435, -39.0643",,,,-39.07518,-16.4852182,hotel,node/2745631316,openstreetmap
Aquarela Hotel,Hotel,"Próximo a -16.4435, -39.0643",,,,-39.0616016,-16.459465,hotel,node/3126947129,openstreetmap
Canto d'Alvorada,Hotel,"Próximo a -16.4435, -39.0643",,,,-39.0645569,-16.4764763,hotel,node/4016354197,openstreetmap
Hotel Vale Verde,Hotel,"679, Avenida dos Navegantes",+55 73 3288 2255,https://www.hotelvaleverde.tur.br/,,-39.0675458,-16.4434408,hotel,node/4222875389,openstreetmap
Chauã Hotel,Hotel,Avenida dos Navegantes,,,,-39.0680118,-16.4429886,hotel,node/4227395502,openstreetmap
Oceano Porto Hotel,Hotel,"73, Avenida dos Navegantes, Porto Seguro",+55 73 3288 2014,,,-39.0679474,-16.4432665,hotel,node/4227395516,openstreetmap
Pousada Costa do Sol,Hotel,"690, Avenida dos Navegantes, Porto Seguro",+55 73 3288 2476,,,-39.0676148,-16.4431867,hotel,node/4227395521,openstreetmap
Arraial Eco Resort,Hotel,"Próximo a -16.4435, -39.0643",,,,-39.0602842,-16.4579592,hotel,node/4249434890,openstreetmap
Camping Mundaí,Camping,"4273, Avenida Beira Mar, 45810-000",,https://hotelmundai.com.br/,,-39.0494336,-16.4095659,camp_site,node/4406663499,openstreetmap
Pousada Bem-Ti-Vis,Hotel,"Próximo a -16.4435, -39.0643",,,,-39.0631542,-16.4484002,hotel,node/4408491206,openstreetmap
Pousada solar do pantanal,Hotel,"Próximo a -16.4435, -39.0643",,,,-39.0652813,-16.4461347,hotel,node/4784599140,openstreetmap
Porto Seguro praia resort,Hotel,"1500, Avenida Beira Mar",,,,-39.0548478,-16.4195889,hotel,node/5087066923,openstreetmap
Hotel Navegantes,Hotel,"212, Avenida do Descobrimento, Centro, Porto Seguro, 45810-000",,,,-39.0616408,-16.4465673,hotel,node/5345566977,openstreetmap
Solar das Orquídeas,Pousada,"Próximo a -16.4435, -39.0643",,,,-39.0703667,-16.4863604,guest_house,node/5347466945,openstreetmap
Hotel Lagoa Azul,Hotel,"Próximo a -16.4435, -39.0643",,,,-39.0640799,-16.442052,hotel,node/6827235285,openstreetmap
Small Porto Hotel,Hotel,"Próximo a -16.4435, -39.0643",,,,-39.0644494,-16.4420104,hotel,node/6827235289,openstreetmap
Hotel Bosque do Porto,Hotel,"Avenida Beira Mar, Taperapuan, Porto Seguro, 45810-000",+55 73 3679 1555,http://www.bosquedoporto.com.br/,contato@bosquedoporto.com.br,-39.0449982,-16.4036846,hotel,node/6851627628,openstreetmap
Hotel Garça Branca,Hotel,"Avenida Beira Mar, 45810-000",,,,-39.0456504,-16.4042261,hotel,node/6851627629,openstreetmap
Hotel Porto das Naus,Hotel,"4000, Avenida Beira Mar, Taperapuan, Porto Seguro",+55 73 32688000,https://portodasnaus.com.br/,reservas@portodasnaus.com.br,-39.0479435,-16.4074954,hotel,node/6851627641,openstreetmap
Hostel Caminho do Sol,Hostel,"Próximo a -16.4435, -39.0643",,,,-39.0668857,-16.4753142,hostel,node/8111867718,openstreetmap
