lead_name,business_type,address,phone,website,email,coordinates_lon,coordinates_lat,osm_type,osm_id,source
Planet Lanches,Fast Food,"Próximo a -22.9532, -43.3716",,,,-43.3682922,-22.947347,fast_food,node/495185764,openstreetmap
Mania de Comer,Fast Food,Travessa 133-A,,,,-43.3646015,-22.9524528,fast_food,node/495269480,openstreetmap
Vem Comer Lanches,Fast Food,"Próximo a -22.9532, -43.3716",,,,-43.3577779,-22.9533933,fast_food,node/495320874,openstreetmap
Açaí da Ponte,Fast Food,"203, Avenida Cidade de Deus",,,,-43.3663155,-22.9494329,fast_food,node/496493532,openstreetmap
Pastel Mania,Fast Food,"Próximo a -22.9532, -43.3716",,,,-43.3648649,-22.9490535,fast_food,node/496500537,openstreetmap
McLanche,Fast Food,"Próximo a -22.9532, -43.3716",,,,-43.3638264,-22.9496542,fast_food,node/496504876,openstreetmap
Associação de Moradores e Espaço Cultural Cidade de Deus,public_building,"90, Avenida José de Arimatéia",,,,-43.363586,-22.949259,public_building,node/496507832,openstreetmap
La Plancha,Restaurante,"Próximo a -22.9532, -43.3716",,,,-43.3667757,-22.9947917,restaurant,node/1766675453,openstreetmap
Capital Steakhouse,Restaurante,"Próximo a -22.9532, -43.3716",,,,-43.3644508,-22.997286,restaurant,node/1766676594,openstreetmap
Subway,Fast Food,"Próximo a -22.9532, -43.3716",,,,-43.3617854,-22.9704321,fast_food,node/2458141766,openstreetmap
Lu Lanches,Fast Food,"Próximo a -22.9532, -43.3716",,,,-43.3612,-22.941472,fast_food,node/2623996289,openstreetmap
Dos Sertões Freguesia,Restaurante,"7636, Estrada de Jacarepaguá, Freguesia, Rio de Janeiro",,,,-43.3408789,-22.9423893,restaurant,node/2624017230,openstreetmap
Planalto do Chopp,Restaurante,"713, Avenida Geremário Dantas",,,,-43.3538023,-22.9289981,restaurant,node/2671620102,openstreetmap
Azimut,Restaurante,"2691, Estrada do Rio Grande, Rio de Janeiro, 22720-010",+55 21 2440-1900; +55 21 3596-9200,,,-43.3944997,-22.9191279,restaurant,node/2954320338,openstreetmap
D-Vino,Restaurante,"54, Rua Salinópolis, Rio de Janeiro, 22720-000",+5521 3251-8433;+5521 3251-8433,,restaurantedvino@gmail.com,-43.3862686,-22.91858,restaurant,node/2954320342,openstreetmap
Esbórnia Chopp Bar,Bar,"148, Rua Salinópolis, Rio de Janeiro, 22720-000",+55 21 3486-4902,https://facebook.com/esborniabar,esborniabar@gmail.com,-43.3864826,-22.9177201,bar,node/2954320345,openstreetmap
Esquina do Suco,Fast Food,"835, Avenida dos Mananciais, Rio de Janeiro, 22720-400",,,,-43.386082,-22.9172474,fast_food,node/2954320346,openstreetmap
Papo Sadio,Bar,"177, Rua Relvado, Rio de Janeiro, 22720-380",21 2456-7024,,,-43.3873469,-22.9186283,bar,node/2954320358,openstreetmap
Pizzaria Mananciais,Restaurante,"1096, Avenida dos Mananciais, Rio de Janeiro, 22720-410",,,,-43.38857,-22.9171711,restaurant,node/2954320359,openstreetmap
Praça do Suco,Fast Food,"77, Rua Relvado, Rio de Janeiro, 22720-380",+5521 2456-2374,,,-43.3859128,-22.9184081,fast_food,node/2954320360,openstreetmap
